22841-22834-MA0000517,adult_old,MPATH458, skin 133A
Probe Array Lot: 2006849
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:169, Count:32
Corner- Avg:9762, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=15.616271 SFGene=All 
Background=Avg:80.00,Stdev:2.49,Max:87.7,Min:75.2 Noise=Avg:4.99,Stdev:0.45,Max:6.6,Min:4.1 RawQ=3.25 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
1598_g_at	16	16	8500.7	P	0.002228																															
160020_at	16	16	5551.2	P	0.006532																															
1729_at	16	16	1692.5	P	0.001602																															
1773_at	16	16	942.4	A	0.267463																															
177_at	16	16	886.5	P	0.011447																															
179_at	16	16	3316.0	P	0.039365																															
1861_at	16	16	1374.6	P	0.007543																															
2028_s_at	16	16	1395.8	P	0.019304																															
243_g_at	16	16	4390.8	P	0.000322																															
266_s_at	16	16	14264.5	P	0.000219																															
31637_s_at	16	16	4418.6	M	0.054470																															
31799_at	16	16	1024.2	P	0.005643																															
31807_at	16	16	3580.3	P	0.003585																															
31826_at	16	16	3789.7	P	0.002617																															
31835_at	16	16	357.7	A	0.397994																															
31837_at	16	16	3713.4	P	0.019304																															
31845_at	16	16	970.4	M	0.060419																															
31846_at	16	16	10014.9	P	0.048995																															
31861_at	16	16	4704.7	P	0.017001																															
31874_at	16	16	3994.6	P	0.000805																															
32029_at	16	16	2367.3	P	0.039365																															
32032_at	16	16	2251.8	P	0.004863																															
32042_at	16	16	593.2	P	0.000959																															
32062_at	16	16	973.5	P	0.043968																															
32069_at	16	16	1018.8	P	0.035163																															
32088_at	16	16	123.4	P	0.039365																															
32091_at	16	16	1104.0	P	0.001602																															
32094_at	16	16	2729.0	P	0.000805																															
32099_at	16	16	3456.3	P	0.001354																															
320_at	16	16	1674.3	P	0.001141																															
32128_at	16	16	36.1	A	0.660442																															
32137_at	16	16	5002.1	P	0.000673																															
32209_at	16	16	4113.2	P	0.000219																															
32259_at	16	16	3844.9	P	0.000266																															
32402_s_at	16	16	978.8	P	0.014937																															
32502_at	16	16	2568.9	P	0.001602																															
32540_at	16	16	901.1	P	0.009985																															
32541_at	16	16	357.9	P	0.011447																															
32625_at	16	16	689.2	A	0.250724																															
32699_s_at	16	16	1189.3	A	0.073830																															
32723_at	16	16	770.7	P	0.000673																															
32811_at	16	16	4183.3	P	0.019304																															
32836_at	16	16	10128.1	P	0.001602																															
32837_at	16	16	2622.3	P	0.011447																															
33132_at	16	16	2675.4	P	0.000468																															
33148_at	16	16	206.1	A	0.218983																															
33197_at	16	16	903.4	A	0.107301																															
33304_at	16	16	4062.5	P	0.014937																															
33307_at	16	16	754.3	P	0.043968																															
33322_i_at	14	14	12829.3	P	0.000491																															
33323_r_at	16	16	6937.4	P	0.000322																															
33494_at	16	16	648.7	P	0.002617																															
33579_i_at	13	13	888.1	A	0.403383																															
33646_g_at	16	16	944.3	P	0.011447																															
336_at	16	16	1421.9	A	0.234557																															
33736_at	16	16	1618.6	P	0.027860																															
33760_at	16	16	884.7	P	0.008689																															
33767_at	16	16	850.7	A	0.162935																															
33768_at	16	16	4065.6	P	0.009985																															
33778_at	16	16	3368.1	P	0.004180																															
33814_at	16	16	3722.6	P	0.003067																															
33850_at	16	16	1260.7	P	0.007543																															
34031_i_at	13	13	2609.0	P	0.000737																															
34063_at	16	16	384.0	A	0.204022																															
34187_at	16	16	639.9	A	0.138765																															
34206_at	16	16	3704.9	P	0.006532																															
34210_at	16	16	166.3	A	0.781017																															
34221_at	16	16	2091.6	P	0.003585																															
34225_at	16	16	3596.1	P	0.000322																															
34260_at	16	16	1651.9	P	0.007543																															
34406_at	16	16	2336.1	P	0.004180																															
34408_at	16	16	2051.2	P	0.000562																															
34449_at	16	16	501.4	A	0.073830																															
34471_at	16	16	231.8	A	0.541184																															
34478_at	16	16	1049.5	P	0.008689																															
34689_at	16	16	2657.1	A	0.218983																															
34697_at	16	16	835.3	P	0.021866																															
34726_at	16	16	1343.1	P	0.005643																															
34764_at	16	16	1564.5	P	0.000673																															
34846_at	16	16	1621.4	M	0.054470																															
34858_at	16	16	2120.9	P	0.002617																															
34868_at	16	16	1802.6	P	0.019304																															
35147_at	16	16	3429.8	P	0.006532																															
35148_at	16	16	949.1	P	0.001602																															
35150_at	16	16	3297.6	P	0.000562																															
35156_at	16	16	3290.8	P	0.000673																															
35160_at	16	16	1261.3	A	0.089405																															
35179_at	16	16	667.1	A	0.162935																															
35201_at	16	16	4591.5	P	0.001602																															
35254_at	16	16	3170.1	P	0.001602																															
35265_at	16	16	2172.8	P	0.003067																															
35436_at	16	16	1947.2	P	0.011447																															
35617_at	16	16	1135.3	P	0.031336																															
35626_at	16	16	5999.5	P	0.000219																															
35666_at	16	16	3521.4	P	0.003067																															
35671_at	16	16	3827.3	P	0.000388																															
35685_at	16	16	6914.0	P	0.000673																															
35776_at	16	16	3530.9	P	0.001141																															
35820_at	16	16	4011.6	P	0.001141																															
35846_at	16	16	1014.0	A	0.162935																															
35974_at	16	16	509.8	A	0.081337																															
36004_at	16	16	3190.5	P	0.031336																															
36019_at	16	16	5908.5	P	0.000388																															
36030_at	16	16	2011.0	P	0.035163																															
36084_at	16	16	4281.3	P	0.000959																															
36129_at	16	16	14707.0	P	0.000562																															
36475_at	16	16	2095.1	P	0.002617																															
36499_at	16	16	2910.2	P	0.000673																															
36545_s_at	16	16	1604.8	P	0.000959																															
36552_at	16	16	1726.8	P	0.008689																															
36553_at	16	16	2665.8	P	0.002617																															
36554_at	16	16	2726.7	P	0.000322																															
36564_at	16	16	1362.5	P	0.043968																															
36566_at	16	16	1391.5	P	0.039365																															
36612_at	16	16	420.5	P	0.031336																															
36711_at	16	16	9032.0	P	0.000219																															
36742_at	16	16	541.2	A	0.150527																															
36829_at	16	16	9986.7	P	0.000388																															
36830_at	16	16	1899.1	P	0.008689																															
36865_at	16	16	1667.1	P	0.048995																															
36888_at	16	16	4935.9	P	0.000805																															
36907_at	16	16	4499.6	P	0.031336																															
36920_at	16	16	158.4	A	0.397994																															
36936_at	16	16	4236.3	P	0.000562																															
36994_at	16	16	13809.4	P	0.000266																															
37004_at	16	16	309.7	A	0.189687																															
37005_at	16	16	6221.3	P	0.000322																															
37012_at	16	16	10311.1	P	0.000219																															
37020_at	16	16	42.0	A	0.960635																															
37022_at	16	16	1490.0	A	0.127645																															
37028_at	16	16	2269.2	P	0.006532																															
37079_at	16	16	373.4	P	0.017001																															
37117_at	16	16	4660.9	P	0.000322																															
37145_at	16	16	103.4	A	0.621816																															
37152_at	16	16	2064.0	A	0.150527																															
37170_at	16	16	398.9	P	0.004863																															
37201_at	16	16	1135.2	P	0.013092																															
37226_at	16	16	1204.0	P	0.013092																															
37232_at	16	16	792.3	P	0.008689																															
37254_at	16	16	3627.0	P	0.000219																															
37278_at	16	16	2591.7	P	0.007543																															
37384_at	16	16	2976.1	P	0.004863																															
37408_at	16	16	5028.9	P	0.001354																															
37424_at	16	16	1644.7	P	0.006532																															
37425_g_at	16	16	878.1	P	0.006532																															
37433_at	16	16	566.5	P	0.024711																															
37462_i_at	13	13	3507.2	P	0.003566																															
37512_at	16	16	193.0	A	0.397994																															
37547_at	16	16	715.6	A	0.089405																															
37549_g_at	16	16	1204.7	P	0.009985																															
37566_at	16	16	85.6	A	0.218983																															
37577_at	16	16	873.3	P	0.003067																															
37586_at	16	16	728.7	A	0.066865																															
37590_g_at	16	16	1972.0	P	0.004863																															
37652_at	16	16	2601.5	P	0.003585																															
37793_r_at	16	16	1867.1	P	0.003585																															
37796_at	16	16	2188.8	M	0.060419																															
37802_r_at	16	16	293.5	P	0.035163																															
37831_at	16	16	3394.5	A	0.073830																															
37860_at	16	16	2969.5	P	0.002228																															
37872_at	16	16	1864.0	P	0.011447																															
37892_at	16	16	1881.2	P	0.027860																															
37943_at	16	16	1215.7	P	0.007543																															
37950_at	16	16	1720.8	P	0.000266																															
37953_s_at	16	16	534.5	A	0.302547																															
37965_at	16	16	1902.9	P	0.003067																															
37966_at	16	16	1221.7	P	0.039365																															
37986_at	16	16	591.4	A	0.117160																															
37996_s_at	16	16	1572.5	P	0.003067																															
38037_at	16	16	325.8	A	0.358690																															
38043_at	16	16	1581.5	A	0.150527																															
38069_at	16	16	2794.2	P	0.002617																															
38149_at	16	16	1114.7	P	0.031336																															
38157_at	16	16	2861.5	P	0.017001																															
38158_at	16	16	2822.5	P	0.002617																															
38241_at	16	16	1169.3	P	0.000805																															
38269_at	16	16	5181.7	P	0.000673																															
38290_at	16	16	321.2	P	0.014937																															
38340_at	16	16	3552.2	P	0.013092																															
38398_at	16	16	2222.8	P	0.013092																															
38447_at	16	16	5727.3	P	0.031336																															
