21470-21452-fetal,normal,MA0000216 spinal column 133B
Probe Array Lot: 
Operator Name: ec
Sample Type: 
Sample Description: 
Project: 
Comments: 
Reagents: 
Reagent Lot: 
Algorithm: Statistical
Corner+ Avg:97, Count:32
Corner- Avg:8712, Count:32
BF= Alpha1=0.05 Alpha2=0.065 Tau=0.015 Gamma1H=0.0045 Gamma1L=0.0045 Gamma2H=0.006 Gamma2L=0.006 Perturbation=1.1 TGT=2500 NF=1.000000 SF=24.506239 SFGene=All 
Background=Avg:66.33,Stdev:2.48,Max:76.0,Min:61.5 Noise=Avg:3.49,Stdev:0.25,Max:4.3,Min:2.9 RawQ=2.67 

Probe Set Name	Stat Pairs	Stat Pairs Used	Signal	Detection	Detection p-value	Stat Common Pairs	Signal Log Ratio	Signal Log Ratio Low	Signal Log Ratio High	Change	Change p-value	Positive	Negative	Pairs	Pairs Used	Pairs InAvg	Pos Fraction	Log Avg	Pos/Neg	Avg Diff	Abs Call	Inc	Dec	Inc Ratio	Dec Ratio	Pos Change	Neg Change	Inc/Dec	DPos-DNeg Ratio	Log Avg Ratio Change	Diff Call	Avg Diff Change	B=A	Fold Change	Sort Score	
222392_x_at	11	11	4783.9	P	0.000244																															
222393_s_at	11	11	9696.9	P	0.001221																															
222394_at	11	11	7488.7	P	0.000732																															
222395_s_at	11	11	14637.5	P	0.000732																															
222396_at	11	11	24662.8	P	0.000244																															
222397_at	11	11	189.6	A	0.725830																															
222398_s_at	11	11	16268.2	P	0.001221																															
222399_s_at	11	11	29108.1	P	0.000244																															
222400_s_at	11	11	14421.2	P	0.000244																															
222401_s_at	11	11	23551.0	P	0.000244																															
222402_at	11	11	4958.1	P	0.000732																															
222403_at	11	11	10629.5	P	0.000244																															
222404_x_at	11	11	37389.6	P	0.000244																															
222405_at	11	11	47994.7	P	0.000732																															
222406_s_at	11	11	4297.2	P	0.001953																															
222407_s_at	11	11	6223.7	P	0.008057																															
222408_s_at	11	11	23061.3	P	0.000244																															
222409_at	11	11	12535.4	P	0.000244																															
222410_s_at	11	11	26816.0	P	0.000244																															
222411_s_at	11	11	13309.5	P	0.001953																															
222412_s_at	11	11	2982.5	P	0.000244																															
222413_s_at	11	11	3157.1	P	0.004150																															
222414_at	11	11	9686.0	P	0.000244																															
222415_at	11	11	14980.7	P	0.000244																															
222416_at	11	11	8339.1	P	0.000732																															
222417_s_at	11	11	6336.8	P	0.000244																															
222418_s_at	11	11	8686.6	P	0.008057																															
222419_x_at	11	11	235.6	A	0.665527																															
222420_s_at	11	11	9961.8	P	0.001221																															
222421_at	11	11	18618.9	P	0.000244																															
222422_s_at	11	11	26055.1	P	0.000244																															
222423_at	11	11	34321.3	P	0.000244																															
222424_s_at	11	11	4594.2	P	0.014160																															
222425_s_at	11	11	4477.7	A	0.171387																															
222426_at	11	11	2404.1	P	0.000244																															
